trace,mode,suite,instructions,ipc,cycles,LLC0_TOTAL_access,LLC0_TOTAL_hit,LLC0_TOTAL_hit_pct,LLC0_TOTAL_miss,LLC0_TOTAL_miss_pct,llc_avg_miss_latency,mpki,data_store_evictions,data_store_fills_total,data_store_fills_avg,data_store_fills_cv,data_store_fills_min,data_store_fills_max,common_path_rate,ssl_common_selections,avg_rrpv_increment_rounds,rrpv_sampled_evictions,rrpv_total_rounds,no_of_sos_triggered,deferred_sos_services,deferred_sos_dirty_writebacks,sos_percentage,sos_forced_selections,sos_queue_enqueues,sos_queue_max_occupancy,sos_queue_remaining,sos_service_rate,tag_store_full_events,tag_utilization,total_miss_at_tag_array,tag_free_skew0_avg,tag_free_skew1_avg,tag_insert_skew0,tag_insert_skew1,tag_occ_skew0_avg,tag_occ_skew1_avg,allocated_pages,dram_pages,major_fault,minor_fault,llc_security_mode
433.milc-127B.champsimtrace.xz,srrip,spec2006,200000000,0.409821,488017730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95964,,0,95964,
433.milc-274B.champsimtrace.xz,enigma,spec2006,200000000,0.439099,455478160,,,,,,,,,,,,,,99.9901,,,,,750,,,,,,,,0.00990242,,,7573905,,,,,,,109242,,0,109242,
433.milc-274B.champsimtrace.xz,mirage,spec2006,200000000,0.437762,456869193,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,7198964,,,,,,,109242,,0,109242,
433.milc-274B.champsimtrace.xz,srrip,spec2006,200000000,0.455577,439004142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109242,,0,109242,
433.milc-337B.champsimtrace.xz,enigma,spec2006,200000001,0.446119,448310660,,,,,,,,,,,,,,99.9882,,,,,1074,,,,,,,,0.0118348,,,9074950,,,,,,,90362,,0,90362,
433.milc-337B.champsimtrace.xz,mirage,spec2006,200000001,0.436395,458299951,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,8990126,,,,,,,90362,,0,90362,
433.milc-337B.champsimtrace.xz,srrip,spec2006,200000001,0.447042,447385089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90362,,0,90362,
434.zeusmp-10B.champsimtrace.xz,enigma,spec2006,200000000,1.00178,199645357,,,,,,,,,,,,,,99.9927,,,,,64,,,,,,,,0.00728334,,,878718,,,,,,,13626,,0,13626,
434.zeusmp-10B.champsimtrace.xz,mirage,spec2006,200000000,0.9914,201734998,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1012342,,,,,,,13626,,0,13626,
434.zeusmp-10B.champsimtrace.xz,srrip,spec2006,200000000,1.01228,197572911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13626,,0,13626,
435.gromacs-111B.champsimtrace.xz,enigma,spec2006,200000002,0.779538,256562102,,,,,,,,,,,,,,100,,,,,0,,,,,,,,0,,,36041,,,,,,,647,,0,647,
435.gromacs-111B.champsimtrace.xz,mirage,spec2006,200000002,0.778392,256940004,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,42985,,,,,,,647,,0,647,
435.gromacs-111B.champsimtrace.xz,srrip,spec2006,200000002,0.780146,256362113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647,,0,647,
435.gromacs-134B.champsimtrace.xz,enigma,spec2006,200000003,1.60249,124805661,,,,,,,,,,,,,,99.9973,,,,,5,,,,,,,,0.00270555,,,184805,,,,,,,1832,,0,1832,
435.gromacs-134B.champsimtrace.xz,mirage,spec2006,200000003,1.55398,128702055,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,215466,,,,,,,1832,,0,1832,
435.gromacs-134B.champsimtrace.xz,srrip,spec2006,200000003,1.60884,124313211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1832,,0,1832,
435.gromacs-226B.champsimtrace.xz,enigma,spec2006,200000001,0.831218,240610828,,,,,,,,,,,,,,99.9968,,,,,5,,,,,,,,0.00324279,,,154188,,,,,,,2084,,0,2084,
435.gromacs-226B.champsimtrace.xz,mirage,spec2006,200000001,0.830694,240762417,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,190123,,,,,,,2084,,0,2084,
435.gromacs-226B.champsimtrace.xz,srrip,spec2006,200000001,0.831863,240424063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2084,,0,2084,
435.gromacs-228B.champsimtrace.xz,enigma,spec2006,200000001,1.60899,124301503,,,,,,,,,,,,,,99.9954,,,,,11,,,,,,,,0.00455509,,,241488,,,,,,,1697,,0,1697,
435.gromacs-228B.champsimtrace.xz,mirage,spec2006,200000001,1.5612,128106628,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,293907,,,,,,,1697,,0,1697,
435.gromacs-228B.champsimtrace.xz,srrip,spec2006,200000001,1.61435,123888542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697,,0,1697,
436.cactusADM-1804B.champsimtrace.xz,enigma,spec2006,200000000,0.361855,552707053,,,,,,,,,,,,,,99.991,,,,,183,,,,,,,,0.00896909,,,2040341,,,,,,,16578,,0,16578,
436.cactusADM-1804B.champsimtrace.xz,mirage,spec2006,200000000,0.35725,559831495,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2124669,,,,,,,16578,,0,16578,
436.cactusADM-1804B.champsimtrace.xz,srrip,spec2006,200000000,0.361937,552582253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16578,,0,16578,
437.leslie3d-134B.champsimtrace.xz,enigma,spec2006,200000003,0.63991,312543747,,,,,,,,,,,,,,99.9905,,,,,278,,,,,,,,0.00950588,,,2924506,,,,,,,18995,,0,18995,
437.leslie3d-134B.champsimtrace.xz,mirage,spec2006,200000003,0.644233,310446804,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2958819,,,,,,,18995,,0,18995,
437.leslie3d-134B.champsimtrace.xz,srrip,spec2006,200000003,0.649689,307839608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18995,,0,18995,
437.leslie3d-149B.champsimtrace.xz,enigma,spec2006,200000003,0.650252,307572877,,,,,,,,,,,,,,99.9915,,,,,260,,,,,,,,0.00845687,,,3074424,,,,,,,19121,,0,19121,
437.leslie3d-149B.champsimtrace.xz,mirage,spec2006,200000003,0.661235,302464533,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,3073437,,,,,,,19121,,0,19121,
437.leslie3d-149B.champsimtrace.xz,srrip,spec2006,200000003,0.658458,303739953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19121,,0,19121,
437.leslie3d-232B.champsimtrace.xz,enigma,spec2006,200000001,0.621248,321932819,,,,,,,,,,,,,,99.9914,,,,,246,,,,,,,,0.0085537,,,2875948,,,,,,,18561,,0,18561,
437.leslie3d-232B.champsimtrace.xz,mirage,spec2006,200000001,0.616761,324274721,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2992184,,,,,,,18561,,0,18561,
437.leslie3d-232B.champsimtrace.xz,srrip,spec2006,200000001,0.63015,317384810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18561,,0,18561,
437.leslie3d-265B.champsimtrace.xz,enigma,spec2006,200000000,0.623258,320894569,,,,,,,,,,,,,,99.99,,,,,264,,,,,,,,0.0099856,,,2643806,,,,,,,14524,,0,14524,
437.leslie3d-265B.champsimtrace.xz,mirage,spec2006,200000000,0.601,332778562,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2774669,,,,,,,14524,,0,14524,
437.leslie3d-265B.champsimtrace.xz,srrip,spec2006,200000000,0.633427,315742581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14524,,0,14524,
437.leslie3d-271B.champsimtrace.xz,enigma,spec2006,200000001,0.60647,329777174,,,,,,,,,,,,,,99.991,,,,,270,,,,,,,,0.00898715,,,3004289,,,,,,,14591,,0,14591,
437.leslie3d-271B.champsimtrace.xz,mirage,spec2006,200000001,0.612597,326478981,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2966896,,,,,,,14591,,0,14591,
437.leslie3d-271B.champsimtrace.xz,srrip,spec2006,200000001,0.611106,327275569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14591,,0,14591,
437.leslie3d-273B.champsimtrace.xz,enigma,spec2006,200000002,0.578038,345998216,,,,,,,,,,,,,,99.9904,,,,,289,,,,,,,,0.00959314,,,3012569,,,,,,,14617,,0,14617,
437.leslie3d-273B.champsimtrace.xz,mirage,spec2006,200000002,0.56781,352230698,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,3150060,,,,,,,14617,,0,14617,
437.leslie3d-273B.champsimtrace.xz,srrip,spec2006,200000002,0.587025,340700909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14617,,0,14617,
444.namd-120B.champsimtrace.xz,enigma,spec2006,200000001,1.34894,148264690,,,,,,,,,,,,,,100,,,,,0,,,,,,,,0,,,31984,,,,,,,808,,0,808,
444.namd-120B.champsimtrace.xz,mirage,spec2006,200000001,1.34473,148728667,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,38290,,,,,,,808,,0,808,
444.namd-120B.champsimtrace.xz,srrip,spec2006,200000001,1.34976,148174092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808,,0,808,
444.namd-166B.champsimtrace.xz,enigma,spec2006,200000001,1.26249,158417406,,,,,,,,,,,,,,100,,,,,0,,,,,,,,0,,,26638,,,,,,,667,,0,667,
444.namd-166B.champsimtrace.xz,mirage,spec2006,200000001,1.2599,158742349,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,31097,,,,,,,667,,0,667,
444.namd-166B.champsimtrace.xz,srrip,spec2006,200000001,1.26311,158339747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667,,0,667,
444.namd-23B.champsimtrace.xz,enigma,spec2006,200000000,1.33536,149772427,,,,,,,,,,,,,,100,,,,,0,,,,,,,,0,,,29715,,,,,,,735,,0,735,
444.namd-23B.champsimtrace.xz,mirage,spec2006,200000000,1.33106,150256071,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,36043,,,,,,,735,,0,735,
444.namd-23B.champsimtrace.xz,srrip,spec2006,200000000,1.33606,149693595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735,,0,735,
444.namd-321B.champsimtrace.xz,enigma,spec2006,200000000,1.22609,163119667,,,,,,,,,,,,,,100,,,,,0,,,,,,,,0,,,28434,,,,,,,688,,0,688,
444.namd-321B.champsimtrace.xz,mirage,spec2006,200000000,1.22386,163417180,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,32512,,,,,,,688,,0,688,
444.namd-321B.champsimtrace.xz,srrip,spec2006,200000000,1.22666,163043759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688,,0,688,
444.namd-33B.champsimtrace.xz,enigma,spec2006,200000000,1.40597,142250500,,,,,,,,,,,,,,100,,,,,0,,,,,,,,0,,,26421,,,,,,,712,,0,712,
444.namd-33B.champsimtrace.xz,mirage,spec2006,200000000,1.40266,142586175,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,30778,,,,,,,712,,0,712,
444.namd-33B.champsimtrace.xz,srrip,spec2006,200000000,1.40664,142183084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,,0,712,
444.namd-426B.champsimtrace.xz,enigma,spec2006,200000002,1.29633,154281429,,,,,,,,,,,,,,100,,,,,0,,,,,,,,0,,,31598,,,,,,,774,,0,774,
444.namd-426B.champsimtrace.xz,mirage,spec2006,200000002,1.2919,154810907,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,38620,,,,,,,774,,0,774,
444.namd-426B.champsimtrace.xz,srrip,spec2006,200000002,1.29698,154204111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,,0,774,
444.namd-44B.champsimtrace.xz,enigma,spec2006,200000000,1.13169,176726728,,,,,,,,,,,,,,100,,,,,0,,,,,,,,0,,,20481,,,,,,,542,,0,542,
444.namd-44B.champsimtrace.xz,mirage,spec2006,200000000,1.13128,176790627,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,21574,,,,,,,542,,0,542,
444.namd-44B.champsimtrace.xz,srrip,spec2006,200000000,1.132,176678324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,,0,542,
